Time	Treating Pressure	Flow Rate	Density	Volume	CMT Return Press	CMT Return Rate	CMT Return Dens	NRD Return Tot
mm:dd:yyyy:hh:mm:ss	bars	l/min	sgu	m3	bars	l/min	sgu	m3
____	______________	________	________	_______	________________	_______________	_______________	______________	
12:15:2023:13:28:03	1.0	0.0	1.09	0.000	-0.1	0.0	1.05	0.0
12:15:2023:13:28:04	1.0	0.0	1.09	0.000	-0.1	0.0	1.06	0.0
12:15:2023:13:28:05	1.0	0.0	1.09	0.000	-0.1	0.0	1.06	0.0
12:15:2023:13:28:06	1.0	0.0	1.09	0.000	-0.1	0.0	1.06	0.0
12:15:2023:13:28:07	1.0	0.0	1.09	0.000	-0.1	0.0	1.06	0.0
12:15:2023:13:28:08	1.0	0.0	1.09	0.000	-0.1	0.0	1.06	0.0
12:15:2023:13:28:09	1.0	0.0	1.09	0.000	-0.1	0.0	1.06	0.0
12:15:2023:13:28:10	1.0	0.0	1.09	0.000	-0.1	0.0	1.06	0.0
12:15:2023:13:28:11	1.0	0.0	1.09	0.000	0.3	0.0	1.06	0.0
12:15:2023:13:28:12	1.0	0.0	1.09	0.000	0.3	0.0	1.06	0.0
12:15:2023:13:28:13	1.0	0.0	1.09	0.000	0.3	0.0	1.06	0.0
12:15:2023:13:28:14	1.0	0.0	1.09	0.000	0.3	0.0	1.06	0.0
12:15:2023:13:28:15	1.0	0.0	1.09	0.000	0.3	0.0	1.06	0.0
12:15:2023:13:28:16	1.0	0.0	1.09	0.000	0.3	0.0	1.06	0.0
12:15:2023:13:28:17	1.0	0.0	1.09	0.000	0.3	0.0	1.06	0.0
12:15:2023:13:28:18	1.0	0.0	1.09	0.000	0.3	0.0	1.06	0.0
